,Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
33,Robertão,1968,1968-09-25,Internacional,1,1,Bahia,E,1,1,34
34,Robertão,1968,1968-09-26,Palmeiras,2,0,Fluminense,VC,3,0,35
35,Robertão,1968,1968-09-26,Botafogo,4,2,Náutico,VC,3,0,36
36,Robertão,1968,1968-09-28,Flamengo,1,1,Bangu,E,1,1,37
41,Robertão,1968,1968-09-29,Grêmio,2,1,Bahia,VC,3,0,42
40,Robertão,1968,1968-09-29,Athletico-PR,3,1,Internacional,VC,3,0,41
38,Robertão,1968,1968-09-29,Atlético-MG,0,0,Fluminense,E,1,1,39
37,Robertão,1968,1968-09-29,Vasco,3,2,Santos,VC,3,0,38
39,Robertão,1968,1968-09-29,Corinthians,3,0,Botafogo,VC,3,0,40
42,Robertão,1968,1968-10-02,Bahia,0,2,Palmeiras,VV,0,3,43
43,Robertão,1968,1968-10-02,Fluminense,1,2,Cruzeiro,VV,0,3,44
44,Robertão,1968,1968-10-02,São Paulo,0,0,Bangu,E,1,1,45
45,Robertão,1968,1968-10-03,Flamengo,3,3,Portuguesa,E,1,1,46
46,Robertão,1968,1968-10-03,Corinthians,2,1,Atlético-MG,VC,3,0,47
47,Robertão,1968,1968-10-05,Vasco,2,1,Botafogo,VC,3,0,48
48,Robertão,1968,1968-10-06,Grêmio,0,0,Bangu,E,1,1,49
49,Robertão,1968,1968-10-06,Atlético-MG,0,1,Internacional,VV,0,3,50
50,Robertão,1968,1968-10-06,Santos,2,1,Corinthians,VC,3,0,51
51,Robertão,1968,1968-10-06,Bahia,0,1,Portuguesa,VV,0,3,52
52,Robertão,1968,1968-10-06,Flamengo,0,2,Palmeiras,VV,0,3,53
57,Robertão,1968,1968-10-09,Vasco,0,2,Grêmio,VV,0,3,58
58,Robertão,1968,1968-10-09,Cruzeiro,3,1,Corinthians,VC,3,0,59
56,Robertão,1968,1968-10-09,Náutico,1,1,Portuguesa,E,1,1,57
54,Robertão,1968,1968-10-09,Athletico-PR,2,3,Atlético-MG,VV,0,3,55
53,Robertão,1968,1968-10-09,Internacional,0,0,Bangu,E,1,1,54
55,Robertão,1968,1968-10-09,São Paulo,2,2,Flamengo,E,1,1,56
59,Robertão,1968,1968-10-10,Santos,9,2,Bahia,VC,3,0,60
60,Robertão,1968,1968-10-12,Palmeiras,1,1,São Paulo,E,1,1,61
61,Robertão,1968,1968-10-12,Botafogo,0,1,Grêmio,VV,0,3,62
62,Robertão,1968,1968-10-13,Náutico,2,0,Bangu,VC,3,0,63
63,Robertão,1968,1968-10-13,Fluminense,1,0,Flamengo,VC,3,0,64
64,Robertão,1968,1968-10-13,Santos,2,0,Cruzeiro,VC,3,0,65
65,Robertão,1968,1968-10-13,Internacional,0,1,Corinthians,VV,0,3,66
66,Robertão,1968,1968-10-16,Atlético-MG,0,0,Flamengo,E,1,1,67
67,Robertão,1968,1968-10-16,Botafogo,0,0,Palmeiras,E,1,1,68
68,Robertão,1968,1968-10-16,Santos,2,0,Portuguesa,VC,3,0,69
69,Robertão,1968,1968-10-16,Náutico,1,3,Vasco,VV,0,3,70
70,Robertão,1968,1968-10-16,Bahia,0,1,Bangu,VV,0,3,71
72,Robertão,1968,1968-10-17,Fluminense,5,2,São Paulo,VC,3,0,73
73,Robertão,1968,1968-10-17,Cruzeiro,4,1,Athletico-PR,VC,3,0,74
71,Robertão,1968,1968-10-17,Corinthians,2,1,Grêmio,VC,3,0,72
74,Robertão,1968,1968-10-19,Botafogo,0,0,Flamengo,E,1,1,75
75,Robertão,1968,1968-10-20,Náutico,0,1,Fluminense,VV,0,3,76
76,Robertão,1968,1968-10-20,Vasco,1,3,Palmeiras,VV,0,3,77
77,Robertão,1968,1968-10-20,Cruzeiro,1,1,Bangu,E,1,1,78
78,Robertão,1968,1968-10-20,Santos,0,0,São Paulo,E,1,1,79
79,Robertão,1968,1968-10-20,Athletico-PR,4,0,Corinthians,VC,3,0,80
80,Robertão,1968,1968-10-20,Grêmio,0,0,Atlético-MG,E,1,1,81
81,Robertão,1968,1968-10-23,Internacional,1,3,Santos,VV,0,3,82
82,Robertão,1968,1968-10-23,Athletico-PR,2,3,Vasco,VV,0,3,83
83,Robertão,1968,1968-10-23,Palmeiras,1,1,Cruzeiro,E,1,1,84
84,Robertão,1968,1968-10-23,Bangu,1,3,Corinthians,VV,0,3,85
85,Robertão,1968,1968-10-23,Bahia,1,3,Fluminense,VV,0,3,86
86,Robertão,1968,1968-10-23,Atlético-MG,1,1,Botafogo,E,1,1,87
87,Robertão,1968,1968-10-24,Flamengo,0,1,Grêmio,VV,0,3,88
89,Robertão,1968,1968-10-26,Palmeiras,3,1,Bangu,VC,3,0,90
88,Robertão,1968,1968-10-26,Fluminense,0,2,Portuguesa,VV,0,3,89
90,Robertão,1968,1968-10-27,Corinthians,0,1,Flamengo,VV,0,3,91
91,Robertão,1968,1968-10-27,Grêmio,1,1,Athletico-PR,E,1,1,92
92,Robertão,1968,1968-10-27,Atlético-MG,1,0,Cruzeiro,VC,3,0,93
93,Robertão,1968,1968-10-27,Náutico,0,3,Santos,VV,0,3,94
94,Robertão,1968,1968-10-27,Bahia,1,0,Botafogo,VC,3,0,95
95,Robertão,1968,1968-10-27,Vasco,3,2,São Paulo,VC,3,0,96
96,Robertão,1968,1968-11-14,Náutico,1,2,Athletico-PR,VV,0,3,97
97,Robertão,1968,1968-11-15,Cruzeiro,1,1,Botafogo,E,1,1,98
99,Robertão,1968,1968-11-16,Atlético-MG,1,0,Bangu,VC,3,0,100
98,Robertão,1968,1968-11-16,Palmeiras,2,0,Corinthians,VC,3,0,99
100,Robertão,1968,1968-11-17,Bahia,1,1,Athletico-PR,E,1,1,101
101,Robertão,1968,1968-11-17,Vasco,2,1,Fluminense,VC,3,0,102
102,Robertão,1968,1968-11-17,Cruzeiro,2,2,Portuguesa,E,1,1,103
103,Robertão,1968,1968-11-17,São Paulo,4,1,Botafogo,VC,3,0,104
104,Robertão,1968,1968-11-17,Internacional,4,0,Flamengo,VC,3,0,105
109,Robertão,1968,1968-11-20,Náutico,1,0,Bahia,VC,3,0,110
108,Robertão,1968,1968-11-20,Cruzeiro,1,0,Grêmio,VC,3,0,109
